/以下全部来自互联网，所有内容仅供测试使用，请勿用于违法用途，如有冒犯请联系删除。

//永久免费꙰严禁商业꙰仅供测试꙰违者自负!꙰//       

//来源网络，免费分享，请勿追究，谢谢！//

祝大家马年大吉,#genre#
北京纪实,http://m.061899.xyz/mg/bjjs
东方影视,http://m.061899.xyz/mg/shys
东方纪实,http://m.061899.xyz/mg/xjs
红色轮播,http://m.061899.xyz/mg/hslb
金色剧场,http://m.061899.xyz/mg/jsjc
乡村振兴,http://m.061899.xyz/mg/xczx

CGTN记录,https://english-livebkali.cgtn.com/live/doccgtn.m3u8
CGTN英语,https://english-livebkali.cgtn.com/live/encgtn.m3u8
CGTN俄语,https://0472.org/hls/cgtne.m3u8
CGTN法语,https://0472.org/hls/cgtnf.m3u
 

央卫二套,#genre#
CCTV1,http://116.77.239.26:44300/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://116.77.239.26:44300/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3,http://116.77.239.26:44300/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV4,http://116.77.239.26:44300/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5,http://116.77.239.26:44300/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5+,http://116.77.239.26:44300/tsfile/live/0125_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6,http://116.77.239.26:44300/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7,http://116.77.239.26:44300/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV8,http://116.77.239.26:44300/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9,http://116.77.239.26:44300/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV10,http://116.77.239.26:44300/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV11,http://116.77.239.26:44300/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV12,http://116.77.239.26:44300/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV13,http://116.77.239.26:44300/tsfile/live/0013_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV14,http://116.77.239.26:44300/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV15,http://116.77.239.26:44300/tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0

CGTN,http://116.77.239.26:44300/tsfile/live/1012_1.m3u8?key=txiptv&playlive=0&authid=0

东方卫视,http://116.77.239.26:44300/tsfile/live/0126_1.m3u8?key=txiptv&playlive=0&authid=0
北京卫视,http://116.77.239.26:44300/tsfile/live/0138_1.m3u8?key=txiptv&playlive=0&authid=0
南方卫视,http://116.77.239.26:44300/tsfile/live/0130_1.m3u8?key=txiptv&playlive=0&authid=0
吉林卫视,http://116.77.239.26:44300/tsfile/live/0113_2.m3u8?key=txiptv&playlive=0&authid=0
四川卫视,http://116.77.239.26:44300/tsfile/live/0137_2.m3u8?key=txiptv&playlive=0&authid=0
天津卫视,http://116.77.239.26:44300/tsfile/live/0132_1.m3u8?key=txiptv&playlive=0&authid=0
安徽卫视,http://116.77.239.26:44300/tsfile/live/0120_1.m3u8?key=txiptv&playlive=0&authid=0
山东卫视,http://116.77.239.26:44300/tsfile/live/0121_1.m3u8?key=txiptv&playlive=0&authid=0
广东卫视,http://116.77.239.26:44300/tsfile/live/0128_1.m3u8?key=txiptv&playlive=0&authid=0
江苏卫视,http://116.77.239.26:44300/tsfile/live/0135_1.m3u8?key=txiptv&playlive=0&authid=0
江西卫视,http://116.77.239.26:44300/tsfile/live/0137_1.m3u8?key=txiptv&playlive=0&authid=0
河北卫视,http://116.77.239.26:44300/tsfile/live/0113_1.m3u8?key=txiptv&playlive=0&authid=0
河南卫视,http://116.77.239.26:44300/tsfile/live/0136_1.m3u8?key=txiptv&playlive=0&authid=0
浙江卫视,http://116.77.239.26:44300/tsfile/live/0131_1.m3u8?key=txiptv&playlive=0&authid=0
海南卫视,http://116.77.239.26:44300/tsfile/live/0117_1.m3u8?key=txiptv&playlive=0&authid=0
深圳卫视,http://116.77.239.26:44300/tsfile/live/1013_1.m3u8?key=txiptv&playlive=0&authid=0
湖北卫视,http://116.77.239.26:44300/tsfile/live/0139_1.m3u8?key=txiptv&playlive=0&authid=0
湖南卫视,http://116.77.239.26:44300/tsfile/live/0122_1.m3u8?key=txiptv&playlive=0&authid=0
辽宁卫视,http://116.77.239.26:44300/tsfile/live/0123_1.m3u8?key=txiptv&playlive=0&authid=0
重庆卫视,http://116.77.239.26:44300/tsfile/live/0142_1.m3u8?key=txiptv&playlive=0&authid=0
陕西卫视,http://116.77.239.26:44300/tsfile/live/0116_2.m3u8?key=txiptv&playlive=0&authid=0
黑龙江卫视,http://116.77.239.26:44300/tsfile/live/0143_1.m3u8?key=txiptv&playlive=0&authid=0

重温经典,http://116.77.239.26:44300/tsfile/live/0118_1.m3u8?key=txiptv&playlive=0&authid=0

广东体育,http://116.77.239.26:44300/tsfile/live/0124_1.m3u8?key=txiptv&playlive=0&authid=0
广东公共,http://116.77.239.26:44300/tsfile/live/0127_1.m3u8?key=txiptv&playlive=0&authid=0
广东新闻,http://116.77.239.26:44300/tsfile/live/0107_1.m3u8?key=txiptv&playlive=0&authid=0
深圳体育健康,http://116.77.239.26:44300/tsfile/live/1005_1.m3u8?key=txiptv&playlive=0&authid=0
深圳电视剧,http://116.77.239.26:44300/tsfile/live/1015_1.m3u8?key=txiptv&playlive=0&authid=0
深圳财经生活,http://116.77.239.26:44300/tsfile/live/1007_1.m3u8?key=txiptv&playlive=0&authid=0
深圳都市,http://116.77.239.26:44300/tsfile/live/1014_1.m3u8?key=txiptv&playlive=0&authid=0
凤凰中文,http://116.77.239.26:44300/tsfile/live/0141_2.m3u8?key=txiptv&playlive=0&authid=0
明珠台,http://116.77.239.26:44300/tsfile/live/0112_1.m3u8?key=txiptv&playlive=0&authid=0
星空卫视,http://116.77.239.26:44300/tsfile/live/0112_2.m3u8?key=txiptv&playlive=0&authid=0
翡翠台,http://116.77.239.26:44300/tsfile/live/0141_1.m3u8?key=txiptv&playlive=0&authid=0广东体育,http://116.77.239.26:44300/tsfile/live/0124_1.m3u8?key=txiptv&playlive=0&authid=0


央卫三套,#genre#,

重温经典,http://8.138.7.223/tv/cwjd.php
重温经典,http://219.146.65.78:59902/tsfile/live/0150_1.m3u8

凤凰中文,http://m.061899.xyz/mg/fhzw
凤凰资讯,http://m.061899.xyz/mg/fhzx
凤凰香港,http://m.061899.xyz/mg/fhhk
家庭影院,http://m.061899.xyz/mg/jtyy
动作电影,http://m.061899.xyz/mg/dzdy
影迷电影,http://m.061899.xyz/mg/ymdy
CCTV1,http://m.061899.xyz/mg/cctv1
CCTV2,http://m.061899.xyz/mg/cctv2
CCTV3,http://m.061899.xyz/mg/cctv3
CCTV4,http://m.061899.xyz/mg/cctv4
CCTV5,http://m.061899.xyz/mg/cctv5
CCTV5+,http://m.061899.xyz/mg/cctv5p
CCTV6,http://m.061899.xyz/mg/cctv6
CCTV7,http://m.061899.xyz/mg/cctv7
CCTV8,http://m.061899.xyz/mg/cctv8
CCTV9,http://m.061899.xyz/mg/cctv9
CCTV10,http://m.061899.xyz/mg/cctv10
CCTV11,http://m.061899.xyz/mg/cctv11
CCTV12,http://m.061899.xyz/mg/cctv12
CCTV13,http://m.061899.xyz/mg/cctv13
CCTV14,http://m.061899.xyz/mg/cctv14
CCTV15,http://m.061899.xyz/mg/cctv15
CCTV16,http://m.061899.xyz/mg/cctv16
CCTV17,http://m.061899.xyz/mg/cctv17
北京卫视,http://m.061899.xyz/mg/bjws
东方卫视,http://m.061899.xyz/mg/dfws
浙江卫视,http://m.061899.xyz/mg/zjws
江苏卫视,http://m.061899.xyz/mg/jsws
湖南卫视,http://m.061899.xyz/mg/hunws
广东卫视,http://m.061899.xyz/mg/gdws
深圳卫视,http://m.061899.xyz/mg/szws
天津卫视,http://m.061899.xyz/mg/tjws
安徽卫视,http://m.061899.xyz/mg/ahws
山东卫视,http://m.061899.xyz/mg/sdws
河北卫视,http://m.061899.xyz/mg/hbws
河南卫视,http://m.061899.xyz/mg/hnws
江西卫视,http://m.061899.xyz/mg/jxws
四川卫视,http://m.061899.xyz/mg/scws
重庆卫视,http://m.061899.xyz/mg/cqws
贵州卫视,http://m.061899.xyz/mg/gzws
湖北卫视,http://m.061899.xyz/mg/hubws
广西卫视,http://m.061899.xyz/mg/gxws
东南卫视,http://m.061899.xyz/mg/dnws
海南卫视,http://m.061899.xyz/mg/hinws
甘肃卫视,http://m.061899.xyz/mg/gsws
青海卫视,http://m.061899.xyz/mg/qhws
陕西卫视,http://m.061899.xyz/mg/sxws
宁夏卫视,http://m.061899.xyz/mg/nxws
新疆卫视,http://m.061899.xyz/mg/xjws
西藏卫视,http://m.061899.xyz/mg/xzws
兵团卫视,http://m.061899.xyz/mg/btws
吉林卫视,http://m.061899.xyz/mg/jlws
内蒙古视,http://m.061899.xyz/mg/nmgws
黑龙江视,http://m.061899.xyz/mg/hljws
重温经典,http://m.061899.xyz/mg/cwjd
劲爆体育,http://m.061899.xyz/mg/jbty
咪咕体育,http://m.061899.xyz/mg/mgty
北京体育,http://m.061899.xyz/mg/bjty
北京新闻,http://m.061899.xyz/mg/bjxw
北京财经,http://m.061899.xyz/mg/bjcj
北京文艺,http://m.061899.xyz/mg/bjwy
北京生活,http://m.061899.xyz/mg/bjsh
北京少儿,http://m.061899.xyz/mg/bjkk
北京影视,http://m.061899.xyz/mg/bjys
北京纪实,http://m.061899.xyz/mg/bjjs
东方影视,http://m.061899.xyz/mg/shys
东方纪实,http://m.061899.xyz/mg/xjs

央卫四套,#genre#
广东珠江,http://m.061899.xyz/mg/gdzj
广东新闻,http://m.061899.xyz/mg/gdxw
广东民生,http://m.061899.xyz/mg/gdms
广东体育,http://m.061899.xyz/mg/gdty
CCTV-01,http://m.061899.xyz/mg/cctv1
CCTV-01,http://iptv.huuc.edu.cn/hls/cctv1hd.m3u8
CCTV-02,http://m.061899.xyz/mg/cctv2
CCTV-02,http://iptv.huuc.edu.cn/hls/cctv2hd.m3u8
CCTV-03,http://m.061899.xyz/mg/cctv3
CCTV-03,http://iptv.huuc.edu.cn/hls/cctv3hd.m3u8
CCTV-04,http://m.061899.xyz/mg/cctv4
CCTV-05,http://m.061899.xyz/mg/cctv5
CCTV-5+,http://m.061899.xyz/mg/cctv5p
CCTV-06,http://m.061899.xyz/mg/cctv6
CCTV-07,http://m.061899.xyz/mg/cctv7
CCTV-08,http://m.061899.xyz/mg/cctv8
CCTV-08,http://iptv.huuc.edu.cn/hls/cctv8hd.m3u8
CCTV-09,http://m.061899.xyz/mg/cctv9
CCTV-10,http://m.061899.xyz/mg/cctv10
CCTV-11,http://m.061899.xyz/mg/cctv11
CCTV-12,http://m.061899.xyz/mg/cctv12
CCTV-13,http://m.061899.xyz/mg/cctv13
CCTV-13,http://iptv.huuc.edu.cn/hls/cctv13hd.m3u8
CCTV-14,http://m.061899.xyz/mg/cctv14
CCTV-15,http://m.061899.xyz/mg/cctv15
CCTV-16,http://m.061899.xyz/mg/cctv16
CCTV-17,http://m.061899.xyz/mg/cctv17
cctv美洲,http://m.061899.xyz/mg/cctv4m
cctv欧洲,http://m.061899.xyz/mg/cctv4o
CETV-01,http://m.061899.xyz/mg/cetv1
CETV-02,http://m.061899.xyz/mg/cetv2
CETV-04,http://m.061899.xyz/mg/cetv4

凤凰中文频标,http://m.061899.xyz/mg/fhzw
凤凰资讯频标,http://m.061899.xyz/mg/fhzx
凤凰香港频标,http://m.061899.xyz/mg/fhhk
家庭影院,http://m.061899.xyz/mg/jtyy
动作电影,http://m.061899.xyz/mg/dzdy
影迷电影,http://m.061899.xyz/mg/ymdy
北京卫视,http://m.061899.xyz/mg/bjws
东方卫视,http://m.061899.xyz/mg/dfws
浙江卫视,http://m.061899.xyz/mg/zjws
江苏卫视,http://m.061899.xyz/mg/jsws
湖南卫视,http://m.061899.xyz/mg/hunws
广东卫视,http://m.061899.xyz/mg/gdws
深圳卫视,http://m.061899.xyz/mg/szws
天津卫视,http://m.061899.xyz/mg/tjws
安徽卫视,http://m.061899.xyz/mg/ahws
山东卫视,http://m.061899.xyz/mg/sdws
河北卫视,http://m.061899.xyz/mg/hbws
河南卫视,http://m.061899.xyz/mg/hnws
江西卫视,http://m.061899.xyz/mg/jxws
四川卫视,http://m.061899.xyz/mg/scws
重庆卫视,http://m.061899.xyz/mg/cqws
贵州卫视,http://m.061899.xyz/mg/gzws
湖北卫视,http://m.061899.xyz/mg/hubws
广西卫视,http://m.061899.xyz/mg/gxws
东南卫视,http://m.061899.xyz/mg/dnws
海南卫视,http://m.061899.xyz/mg/hinws
三沙卫视,http://43.159.77.196:80/tencent.live.cbncdn.cn/__cl/cg:live/__c/sanshaSD/__op/default/__f/index.m3u8
三沙卫视,https://stream.iptv-search.com/main.php?id=%E4%B8%89%E6%B2%99%E5%8D%AB%E8%A7%86&t=1755401429&token=7ddfc6d40f1c98da27c8b5e7c59836a3
甘肃卫视,http://m.061899.xyz/mg/gsws
青海卫视,http://m.061899.xyz/mg/qhws
陕西卫视,http://m.061899.xyz/mg/sxws
宁夏卫视,http://m.061899.xyz/mg/nxws
新疆卫视,http://m.061899.xyz/mg/xjws
西藏卫视,http://m.061899.xyz/mg/xzws
兵团卫视,http://m.061899.xyz/mg/btws
吉林卫视,http://m.061899.xyz/mg/jlws
内蒙古视,http://m.061899.xyz/mg/nmgws
黑龙江视,http://m.061899.xyz/mg/hljws
重温经典,http://m.061899.xyz/mg/cwjd
劲爆体育,http://m.061899.xyz/mg/jbty
咪咕体育,http://m.061899.xyz/mg/mgty
北京体育,http://m.061899.xyz/mg/bjty
北京新闻,http://m.061899.xyz/mg/bjxw
北京财经,http://m.061899.xyz/mg/bjcj
北京文艺,http://m.061899.xyz/mg/bjwy
北京生活,http://m.061899.xyz/mg/bjsh
北京少儿,http://m.061899.xyz/mg/bjkk
北京影视,http://m.061899.xyz/mg/bjys
北京纪实,http://m.061899.xyz/mg/bjjs
东方影视,http://m.061899.xyz/mg/shys
东方纪实,http://m.061899.xyz/mg/xjs
红色轮播,http://m.061899.xyz/mg/hslb
金色剧场,http://m.061899.xyz/mg/jsjc
乡村振兴,http://m.061899.xyz/mg/xczx


央卫五套,#genre#,
CCTV1,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv1 
CCTV2,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv2 
CCTV3,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv3 
CCTV4,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv4 
CCTV5,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5 
CCTV5+,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5p 
CCTV6,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv6 
CCTV7,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv7 
CCTV8,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv8 
CCTV9,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv9 
CCTV10,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv10
CCTV11,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv11 
CCTV12,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv12 
CCTV13,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv13 
CCTV14,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv14 
CCTV15,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv15 
CCTV16,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv16 
CCTV17,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv17 
北京卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=bjws 
东方卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=dfws 
浙江卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=zjws 
江苏卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jsws 
湖南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hunws 
广东卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gdws 
深圳卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=szws 
天津卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=tjws 
安徽卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=ahws 
山东卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=sdws 
辽宁卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=lnws 
河北卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hbws 
河南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hnws 
江西卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jxws 
四川卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=scws 
重庆卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cqws 
贵州卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gzws 
湖北卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hubws 
广西卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gxws 
东南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=dnws 
海南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hinws 
青海卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=qhws 
吉林卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jlws 
黑龙江视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hljws


央卫六套,#genre#
CCTV1咪咕,http://go.bkpcp.top/mg/cctv1 
CCTV2咪咕,http://go.bkpcp.top/mg/cctv2 
CCTV3咪咕,http://go.bkpcp.top/mg/cctv3 
CCTV4咪咕,http://go.bkpcp.top/mg/cctv4 
CCTV5咪咕,http://go.bkpcp.top/mg/cctv5 
CCTV-5+咪咕,http://go.bkpcp.top/mg/cctv5p 
CCTV6咪咕,http://go.bkpcp.top/mg/cctv6 
CCTV7咪咕,http://go.bkpcp.top/mg/cctv7 
CCTV8咪咕,http://go.bkpcp.top/mg/cctv8 
CCTV9咪咕,http://go.bkpcp.top/mg/cctv9 
CCTV10咪咕,http://go.bkpcp.top/mg/cctv10 
CCTV11咪咕,http://go.bkpcp.top/mg/cctv11 
CCTV12咪咕,http://go.bkpcp.top/mg/cctv12 
CCTV13咪咕,http://go.bkpcp.top/mg/cctv13 
CCTV14咪咕,http://go.bkpcp.top/mg/cctv14 
CCTV15咪咕,http://go.bkpcp.top/mg/cctv15 
CCTV16咪咕,http://go.bkpcp.top/mg/cctv16 
CCTV17咪咕,http://go.bkpcp.top/mg/cctv17 
cct4欧洲咪咕,http://go.bkpcp.top/mg/cctv4o 
cct4美洲咪咕,http://go.bkpcp.top/mg/cctv4m 
CGTN-西咪咕,http://go.bkpcp.top/mg/cgtne 
CGTN-阿咪咕,http://go.bkpcp.top/mg/cgtna 
CGTN-法咪咕,http://go.bkpcp.top/mg/cgtnf 
北京卫视咪咕,http://go.bkpcp.top/mg/bjws 
东方卫视咪咕,http://go.bkpcp.top/mg/dfws 
浙江卫视咪咕,http://go.bkpcp.top/mg/zjws 
江苏卫视咪咕,http://go.bkpcp.top/mg/jsws 
湖南卫视咪咕,http://go.bkpcp.top/mg/hunws 
广东卫视咪咕,http://go.bkpcp.top/mg/gdws 
深圳卫视咪4k,http://go.bkpcp.top/mg/szws 
山东卫视咪咕,http://go.bkpcp.top/mg/sdws 
河南卫视咪咕,http://go.bkpcp.top/mg/hnws 
江西卫视咪咕,http://go.bkpcp.top/mg/jxws 
湖北卫视咪咕,http://go.bkpcp.top/mg/hubws 
海南卫视咪咕,http://go.bkpcp.top/mg/hinws
陕西卫视咪咕,http://go.bkpcp.top/mg/sxws 
兵团卫视咪咕,http://go.bkpcp.top/mg/btws 
黑龙江视咪咕,http://go.bkpcp.top/mg/hljws
重温经典,http://go.bkpcp.top/mg/cwjd
CHC动作电影,http://go.bkpcp.top/mg/dzdy
CHC家庭影院,http://go.bkpcp.top/mg/jtyy
CHC影迷电影,http://go.bkpcp.top/mg/ymdy


央卫七套,#genre#
CCTV1-综合,http://111.221.137.152:44330/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2-财经,http://111.221.137.152:44330/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3-综艺,http://111.221.137.152:44330/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV4-国际,http://111.221.137.152:44330/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5-体育,http://111.221.137.152:44330/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5+体育赛事,http://111.221.137.152:44330/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6-电影,http://111.221.137.152:44330/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7-军农,http://111.221.137.152:44330/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV8-电视剧,http://111.221.137.152:44330/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9-纪录,http://111.221.137.152:44330/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV10-科教,http://111.221.137.152:44330/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV11-戏曲,http://111.221.137.152:44330/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV12-社会与法,http://111.221.137.152:44330/tsfile/live/0013_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV13-新闻,http://111.221.137.152:44330/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV14-少儿,http://111.221.137.152:44330/tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV15-音乐,http://111.221.137.152:44330/tsfile/live/0016_1.m3u8?key=txiptv&playlive=0&authid=0
CGTN,http://111.221.137.152:44330/tsfile/live/1011_1.m3u8?key=txiptv&playlive=0&authid=0
深圳卫视,http://111.221.137.152:44330/tsfile/live/0018_1.m3u8?key=txiptv&playlive=0&authid=0
深圳少儿,http://111.221.137.152:44330/tsfile/live/0019_1.m3u8?key=txiptv&playlive=0&authid=0
深圳电视剧,http://111.221.137.152:44330/tsfile/live/1001_1.m3u8?key=txiptv&playlive=0&authid=0
天威TVG,http://111.221.137.152:44330/tsfile/live/1003_1.m3u8?key=txiptv&playlive=0&authid=0
澳视澳门,http://111.221.137.152:44330/tsfile/live/1004_1.m3u8?key=txiptv&playlive=0&authid=0
Channel [V],http://111.221.137.152:44330/tsfile/live/1012_1.m3u8?key=txiptv&playlive=0&authid=0
翡翠台,http://111.221.137.152:44330/tsfile/live/1009_1.m3u8?key=txiptv&playlive=0&authid=0
明珠台,http://111.221.137.152:44330/tsfile/live/1010_1.m3u8?key=txiptv&playlive=0&authid=0
凤凰卫视中文台,http://111.221.137.152:44330/tsfile/live/1013_1.m3u8?key=txiptv&playlive=0&authid=0
广东卫视,http://111.221.137.152:44330/tsfile/live/0125_1.m3u8?key=txiptv&playlive=0&authid=0
广东体育,http://111.221.137.152:44330/tsfile/live/1005_1.m3u8?key=txiptv&playlive=0&authid=0
广东公共,http://111.221.137.152:44330/tsfile/live/1006_1.m3u8?key=txiptv&playlive=0&authid=0
广东新闻,http://111.221.137.152:44330/tsfile/live/1007_1.m3u8?key=txiptv&playlive=0&authid=0
南方卫视,http://111.221.137.152:44330/tsfile/live/1008_1.m3u8?key=txiptv&playlive=0&authid=0
湖南卫视,http://111.221.137.152:44330/tsfile/live/0128_1.m3u8?key=txiptv&playlive=0&authid=0
江苏卫视,http://111.221.137.152:44330/tsfile/live/0127_1.m3u8?key=txiptv&playlive=0&authid=0
浙江卫视,http://111.221.137.152:44330/tsfile/live/0124_1.m3u8?key=txiptv&playlive=0&authid=0
北京卫视,http://111.221.137.152:44330/tsfile/live/0122_1.m3u8?key=txiptv&playlive=0&authid=0
上海卫视,http://111.221.137.152:44330/tsfile/live/0107_1.m3u8?key=txiptv&playlive=0&authid=0
天津卫视,http://111.221.137.152:44330/tsfile/live/0135_1.m3u8?key=txiptv&playlive=0&authid=0
山东卫视,http://111.221.137.152:44330/tsfile/live/0131_1.m3u8?key=txiptv&playlive=0&authid=0
黑龙江卫视,http://111.221.137.152:44330/tsfile/live/0143_1.m3u8?key=txiptv&playlive=0&authid=0
安徽卫视,http://111.221.137.152:44330/tsfile/live/0130_1.m3u8?key=txiptv&playlive=0&authid=0
辽宁卫视,http://111.221.137.152:44330/tsfile/live/0121_1.m3u8?key=txiptv&playlive=0&authid=0
湖北卫视,http://111.221.137.152:44330/tsfile/live/0132_1.m3u8?key=txiptv&playlive=0&authid=0
重庆卫视,http://111.221.137.152:44330/tsfile/live/0142_1.m3u8?key=txiptv&playlive=0&authid=0
星空卫视,http://111.221.137.152:44330/tsfile/live/1014_1.m3u8?key=txiptv&playlive=0&authid=0
旅游卫视,http://111.221.137.152:44330/tsfile/live/0114_1.m3u8?key=txiptv&playlive=0&authid=0
四川卫视,http://111.221.137.152:44330/tsfile/live/0123_1.m3u8?key=txiptv&playlive=0&authid=0
吉林卫视,http://111.221.137.152:44330/tsfile/live/0116_1.m3u8?key=txiptv&playlive=0&authid=0
江西卫视,http://111.221.137.152:44330/tsfile/live/0138_1.m3u8?key=txiptv&playlive=0&authid=0
重温经典,http://111.221.137.152:44330/tsfile/live/0118_1.m3u8?key=txiptv&playlive=0&authid=0
陕西卫视,http://111.221.137.152:44330/tsfile/live/0136_1.m3u8?key=txiptv&playlive=0&authid=0
河南卫视,http://111.221.137.152:44330/tsfile/live/0139_1.m3u8?key=txiptv&playlive=0&authid=0
云南卫视,http://111.221.137.152:44330/tsfile/live/0119_1.m3u8?key=txiptv&playlive=0&authid=0


内网频道,#group#

海南移动,#genre#,PB=starttime={start|yyyyMMdd'T'HHmmss'.00Z'|Asia/Shanghai}&endtime={end|yyyyMMdd'T'HHmmss'.00Z'|Asia/Shanghai}

测试过,
移动流量可以看,
CCTV1,http://111.29.9.33:6610/000000001000/1000000001000021973/index.m3u8?channel-id=bestzb&Contentid=1000000001000021973&livemode=1&stbId=3
CCTV2,http://111.29.9.33:6610/000000001000/1000000001000012442/index.m3u8?channel-id=bestzb&Contentid=1000000001000012442&livemode=1&stbId=3
CCTV3,http://111.29.9.33:6610/000000001000/1000000001000011218/index.m3u8?channel-id=bestzb&Contentid=1000000001000011218&livemode=1&stbId=3
CCTV4,http://111.29.9.33:6610/000000001000/1000000002000031664/index.m3u8?channel-id=bestzb&Contentid=1000000002000031664&livemode=1&stbId=3
CCTV5+,http://111.29.9.33:6610/000000001000/1000000001000020505/index.m3u8?channel-id=bestzb&Contentid=1000000001000020505&livemode=1&stbId=3
CCTV5,http://111.29.9.33:6610/000000001000/1000000001000004794/index.m3u8?channel-id=bestzb&Contentid=1000000001000004794&livemode=1&stbId=3
CCTV6,http://111.29.9.33:6610/000000001000/1000000001000016466/index.m3u8?channel-id=bestzb&Contentid=1000000001000016466&livemode=1&stbId=3
CCTV7,http://111.29.9.33:6610/000000001000/1000000001000017218/index.m3u8?channel-id=bestzb&Contentid=1000000001000017218&livemode=1&stbId=3
CCTV8,http://111.29.9.33:6610/000000001000/1000000001000003736/index.m3u8?channel-id=bestzb&Contentid=1000000001000003736&livemode=1&stbId=3
